path,word,token,phrase,upload_date
content/asl_app_data/dictionary/SG ASL Bring to Me Alt 2024-7-28 CC.mp4,bring to me alt,BRING TO ME ALT,Bring to Me Alt,2024-07-28
content/asl_app_data/dictionary/SG ASL Bring Somewhere 2024-7-28.mkv,bring somewhere,BRING SOMEWHERE,Bring Somewhere,2024-07-28
content/asl_app_data/dictionary/SG ASL Bring Here 2024-7-28 GIF.gif,bring here,BRING HERE,Bring Here,2024-07-28
content/asl_app_data/dictionary/SG ASL Bring 2024-7-28 CC.mp4,bring,BRING,Bring,2024-07-28
content/asl_app_data/dictionary/SG ASL Both of Us Variant 2024-6-24 CC.mp4,both of us variant,BOTH OF US VARIANT,Both of Us Variant,2024-06-24
content/asl_app_data/dictionary/SG ASL Both of Us 2024-6-24.mkv,both of us,BOTH OF US,Both of Us,2024-06-24
content/asl_app_data/dictionary/SG ASL Both 3 2024-6-24.mkv,both 3,BOTH 3,Both 3,2024-06-24
content/asl_app_data/dictionary/SG ASL My 2024-6-9 CC.mp4,my,MY,My,2024-06-09
content/asl_app_data/dictionary/SG ASL Hello Var Ext 2024-6-9.mkv,hello var ext,HELLO VAR EXT,Hello Var Ext,2024-06-09
content/asl_app_data/dictionary/SG ASL Hello Var 2024-6-9.mkv,hello var,HELLO VAR,Hello Var,2024-06-09
content/asl_app_data/dictionary/SG ASL My Name Is 2024-6-9 CC.mp4,my name is,MY NAME IS,My Name Is,2024-06-09
content/asl_app_data/dictionary/SG ASL Hello 2024-6-9 CC.mp4,hello,HELLO,Hello,2024-06-09
content/asl_app_data/dictionary/SG ASL Book Extended 2024-6-9 GIF.gif,book extended,BOOK EXTENDED,Book Extended,2024-06-09
content/asl_app_data/dictionary/SG ASL Book 2 2024-6-9 GIF.gif,book 2,BOOK 2,Book 2,2024-06-09
content/asl_app_data/dictionary/SG ASL Big Wide (Alt) 2024-4-14 CC.mp4,big wide (alt),BIG WIDE (ALT),Big Wide (Alt),2024-04-14
content/asl_app_data/dictionary/SG ASL Big Wide (Variant) 2024-4-14.mkv,big wide (variant),BIG WIDE (VARIANT),Big Wide (Variant),2024-04-14
content/asl_app_data/dictionary/SG ASL Big Wide 2024-4-14 GIF.gif,big wide,BIG WIDE,Big Wide,2024-04-14
content/asl_app_data/dictionary/SG ASL Big Shoulders 2 2024-4-13 CC.mp4,big shoulders 2,BIG SHOULDERS 2,Big Shoulders 2,2024-04-13
content/asl_app_data/dictionary/SG ASL Big Tall 2024-4-13 CC.mp4,big tall,BIG TALL,Big Tall,2024-04-13
content/asl_app_data/dictionary/SG ASL Big Headed 2024-4-13 GIF.gif,big headed,BIG HEADED,Big Headed,2024-04-13
content/asl_app_data/dictionary/SG ASL Better 2024-4-6 CC.mp4,better,BETTER,Better,2024-04-06
content/asl_app_data/dictionary/SG ASL Better Half 2024-4-6 GIF.gif,better half,BETTER HALF,Better Half,2024-04-06
content/asl_app_data/dictionary/SG ASL Better Half (Partner) 2024-4-5 GIF.gif,better half (partner),BETTER HALF (PARTNER),Better Half (Partner),2024-04-05
